STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,PUMA,REGION,TRACTGEOID
41,029,000100,2,410290001002,00901,1,41029000100
41,029,000100,1,410290001001,00901,1,41029000100
41,029,000201,1,410290002011,00901,1,41029000201
41,029,000201,3,410290002013,00901,1,41029000201
41,029,000201,2,410290002012,00901,1,41029000201
41,029,000202,3,410290002023,00901,1,41029000202
41,029,000202,1,410290002021,00901,1,41029000202
41,029,000202,2,410290002022,00901,1,41029000202
41,029,000203,3,410290002033,00901,1,41029000203
41,029,000203,1,410290002031,00901,1,41029000203
41,029,000203,2,410290002032,00901,1,41029000203
41,029,000300,2,410290003002,00901,1,41029000300
41,029,000300,1,410290003001,00901,1,41029000300
41,029,000403,2,410290004032,00901,1,41029000403
41,029,000403,1,410290004031,00901,1,41029000403
41,029,000404,1,410290004041,00901,1,41029000404
41,029,000404,2,410290004042,00901,1,41029000404
41,029,000405,2,410290004052,00901,1,41029000405
41,029,000405,1,410290004051,00901,1,41029000405
41,029,000406,1,410290004061,00901,1,41029000406
41,029,000406,2,410290004062,00901,1,41029000406
41,029,000501,1,410290005011,00901,1,41029000501
41,029,000501,2,410290005012,00901,1,41029000501
41,029,000502,3,410290005023,00901,1,41029000502
41,029,000502,2,410290005022,00901,1,41029000502
41,029,000502,1,410290005021,00901,1,41029000502
41,029,000601,3,410290006013,00901,1,41029000601
41,029,000601,1,410290006011,00901,1,41029000601
41,029,000601,2,410290006012,00901,1,41029000601
41,029,000601,4,410290006014,00901,1,41029000601
41,029,000602,3,410290006023,00901,1,41029000602
41,029,000602,1,410290006021,00901,1,41029000602
41,029,000602,2,410290006022,00901,1,41029000602
41,029,000700,1,410290007001,00901,1,41029000700
41,029,000700,2,410290007002,00901,1,41029000700
41,029,000700,5,410290007005,00901,1,41029000700
41,029,000700,4,410290007004,00901,1,41029000700
41,029,000700,3,410290007003,00901,1,41029000700
41,029,000800,1,410290008001,00901,1,41029000800
41,029,000800,2,410290008002,00901,1,41029000800
41,029,000900,1,410290009001,00901,1,41029000900
41,029,000900,2,410290009002,00901,1,41029000900
41,029,000900,4,410290009004,00901,1,41029000900
41,029,000900,3,410290009003,00901,1,41029000900
41,029,001001,3,410290010013,00901,1,41029001001
41,029,001001,1,410290010011,00901,1,41029001001
41,029,001001,4,410290010014,00901,1,41029001001
41,029,001001,2,410290010012,00901,1,41029001001
41,029,001002,1,410290010021,00901,1,41029001002
41,029,001002,3,410290010023,00901,1,41029001002
41,029,001002,2,410290010022,00901,1,41029001002
41,029,001100,1,410290011001,00901,1,41029001100
41,029,001100,3,410290011003,00901,1,41029001100
41,029,001100,2,410290011002,00901,1,41029001100
41,029,001200,1,410290012001,00901,1,41029001200
41,029,001200,2,410290012002,00901,1,41029001200
41,029,001301,2,410290013012,00902,1,41029001301
41,029,001301,4,410290013014,00902,1,41029001301
41,029,001301,1,410290013011,00902,1,41029001301
41,029,001301,3,410290013013,00902,1,41029001301
41,029,001302,1,410290013021,00902,1,41029001302
41,029,001302,5,410290013025,00902,1,41029001302
41,029,001302,2,410290013022,00902,1,41029001302
41,029,001302,4,410290013024,00902,1,41029001302
41,029,001302,3,410290013023,00902,1,41029001302
41,029,001400,2,410290014002,00902,1,41029001400
41,029,001400,1,410290014001,00902,1,41029001400
41,029,001400,3,410290014003,00902,1,41029001400
41,029,001500,1,410290015001,00902,1,41029001500
41,029,001500,4,410290015004,00902,1,41029001500
41,029,001500,3,410290015003,00902,1,41029001500
41,029,001500,2,410290015002,00902,1,41029001500
41,029,001601,1,410290016011,00901,1,41029001601
41,029,001601,2,410290016012,00901,1,41029001601
41,029,001602,4,410290016024,00902,1,41029001602
41,029,001602,3,410290016023,00902,1,41029001602
41,029,001602,1,410290016021,00902,1,41029001602
41,029,001602,5,410290016025,00902,1,41029001602
41,029,001602,2,410290016022,00902,1,41029001602
41,029,001700,2,410290017002,00902,1,41029001700
41,029,001700,1,410290017001,00902,1,41029001700
41,029,001700,3,410290017003,00902,1,41029001700
41,029,001700,4,410290017004,00902,1,41029001700
41,029,001800,3,410290018003,00902,1,41029001800
41,029,001800,4,410290018004,00902,1,41029001800
41,029,001800,2,410290018002,00902,1,41029001800
41,029,001800,1,410290018001,00902,1,41029001800
41,029,001900,2,410290019002,00902,1,41029001900
41,029,001900,1,410290019001,00902,1,41029001900
41,029,002000,2,410290020002,00902,1,41029002000
41,029,002000,1,410290020001,00902,1,41029002000
41,029,002100,1,410290021001,00902,1,41029002100
41,029,002100,2,410290021002,00902,1,41029002100
41,029,002100,3,410290021003,00902,1,41029002100
41,029,002200,1,410290022001,00902,1,41029002200
41,029,002200,2,410290022002,00902,1,41029002200
41,029,002200,3,410290022003,00902,1,41029002200
41,029,002200,4,410290022004,00902,1,41029002200
41,029,002300,1,410290023001,00902,1,41029002300
41,029,002300,2,410290023002,00902,1,41029002300
41,029,002400,1,410290024001,00902,1,41029002400
41,029,002400,2,410290024002,00902,1,41029002400
41,029,002500,1,410290025001,00902,1,41029002500
41,029,002500,3,410290025003,00902,1,41029002500
41,029,003001,1,410290030011,00902,1,41029003001
